sha256,file_name,READ_SMS,SEND_SMS,RECEIVE_SMS,SYSTEM_ALERT_WINDOW,READ_CONTACTS,INTERNET,api_getDeviceId,api_sendTextMessage,api_SmsManager,api_DexClassLoader,api_TYPE_SYSTEM_ALERT_WINDOW,api_addView,api_HttpURLConnection,api_openConnection,count_suspicious,cert_present,issuer_present,cn_matches_package,issuer_cn_google_android,subject_cn_contains_pkg,issuer_subject_cn_equal,label_contains_bank,package_contains_bank,num_domains,num_http,num_suspicious_tld,impersonation_score,pkg_official,num_dex,num_permissions,num_exported,min_sdk,target_sdk,num_activities,num_services,num_receivers,file_size_mb,main_activity_present,perm_query_all_packages,app_label_len,package_len,package_has_digit,app_label_non_ascii,label,package,version,app_label_text
9e1c4c3ab5438718796d7d15da4cedc4f7291e12c276f9076d7e10eb98ddcb6c,com.laughtter.apk,1,1,1,0,0,1,1,1,0,0,0,1,0,1,4,1,1,0,0,0,0,0,0,200,0,1,42,0,0,0,0,-1,-1,0,0,0,0,0,0,9,13,0,0,fake,com.laughtter,1.0,Laughtter
9f87d9a5691e9c02e0c2ee26b4b447c7ab0c84eb7d54d42493b8e520cfeb6356,base (2).apk,0,0,0,0,1,1,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,0,0,200,0,0,66,0,0,0,0,-1,-1,0,0,0,0,0,0,8,16,0,0,legit,com.npst.kgbinfi,1.0.57,KGB INFI
a0876d4cde77a0378cbf1ce15d188abf397b33e6d836bd5f799c798d311e2906,a0876d4cde77a0378cbf1ce15d188abf397b33e6d836bd5f799c798d311e2906.apk,1,1,1,0,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,2,66,0,0,0,0,-1,-1,0,0,0,0,0,0,18,15,0,1,fake,cage.couple.say,1.0,Android Güncelleme
a0c2cab5ca8b7b4f78632d258ce79c638379bc237f7b847195200de3de2138c0,c14ed08b2ffd360c937ed3f83bf26c2887710da1.apk,0,0,0,1,1,1,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,7,0,0,66,0,0,0,0,-1,-1,0,0,0,0,0,0,14,25,0,0,fake,net.sacrificed.stunningly,1.0,Browser Update
a33fe9bf26d2e4967818e96a6af639caeccbfc66e67ba1d8729764e924186a83,com.iexceed.ib.digitalbankingprod_1.0.34.apks,1,1,1,0,1,1,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,0,1,200,0,0,100,0,0,0,0,-1,-1,0,0,0,0,0,0,8,33,0,0,legit,com.iexceed.ib.digitalbankingprod,1.0.34,IndSMART
a56cd9ce9097ba8f440141be8f1147d860567511c63e78737af1dc6f0d0ef80c,fbcracker.apk,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,164,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,19,20,0,0,fake,com.example.forkbomb,1.0,Facebook crack 2018
a6c11288cb0d8c5129e3cf3b3ab1cb4263b2344acc884dff9da5dbf1027d0b42,a6c11288cb0d8c5129e3cf3b3ab1cb4263b2344acc884dff9da5dbf1027d0b42.apk,1,1,1,0,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,2,66,0,0,0,0,-1,-1,0,0,0,0,0,0,18,22,0,0,fake,federal.label.business,1.0,Android Guncelleme
a6f0a59b2a8ce0110de5462f7f2f02125a3ee6096ff21bd44b13fcd00884b2a5,base (11).apk,1,1,1,0,1,1,1,1,1,0,0,1,1,1,6,1,1,0,0,0,0,0,0,200,0,0,66,0,0,0,0,-1,-1,0,0,0,0,0,1,11,13,0,0,legit,com.SIBMobile,8.2.17,SIB Mirror+
a99837579ca71f3a6c0cbd7fae8f3c823632f7154ef909067e42b347e6e8b28b,base2 (128).apk,0,0,0,0,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,4,29,0,0,legit,br.gov.caixa.fgts.trabalhador,5.0.6,FGTS
aa962db619e761705635704216fc5d9a4a5faa3d8dfe36d97bf96bc28a447470,base2 (121).apk,0,0,0,0,0,1,1,0,0,0,0,1,1,1,4,1,1,0,0,0,0,1,1,200,0,0,100,0,0,0,0,-1,-1,0,0,0,0,0,1,14,17,0,0,legit,com.banknorwegian,5.4.135,Bank Norwegian
abd25e4271c932d92b59fd1d0a1c7ce4e2d2609ff3ba75696534aa0296b3249d,com.prasesamor.apk,1,1,1,0,0,1,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,200,0,1,50,0,0,0,0,-1,-1,0,0,0,0,0,0,9,14,0,0,fake,com.prasesamor,1.0,Todo Amor
acdba5189ad88501274c446dbf3b040917cc4c1f1b67fb9e4d2f69c6805920c2,acdba5189ad88501274c446dbf3b040917cc4c1f1b67fb9e4d2f69c6805920c2.apk,1,1,1,0,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,2,60,0,0,0,0,-1,-1,0,0,0,0,0,0,13,16,0,0,fake,arctic.fuel.deny,1.0,             
ad61e0abe570c3575b01fbd07fc92e88c2516d1b74bb2ed536c6e2cc8e70435e,BrainTest.apk,0,0,0,1,0,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,10,14,0,0,fake,com.mile.brain,9.10.12.21,Brain Test
adb1f8ffccf1537f78ab6abe6d6452f7fead6fe1bc9ef6889b63b8e8f2e46c58,ArtStation.apk,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,200,0,0,66,0,0,0,0,-1,-1,0,0,0,0,0,0,10,24,0,0,fake,com.ballistiq.artstation,2.4.17,ArtStation
af7452626cec74a907e618b71c543ea311db58cb64f38aa7d658511c9e8e67d2,com.phonepe.app_25.07.25.0.apks,1,1,1,0,1,1,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,0,0,200,0,0,100,1,0,0,0,-1,-1,0,0,0,0,0,0,7,15,0,0,legit,com.phonepe.app,25.07.25.0,PhonePe
afc460d9d889935946c4a70be3130cbe0f5b4eafc248e3c69811e292ecc5e4f5,FakeDoc.apk,0,0,0,0,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,14,25,0,0,fake,com.androiddoctor.battery,2.5,Battery Doctor
b103f3897b1619dee157e62a1737e864452a85bab613ad971ac6193b3f6a4834,ds.apk,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,103,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,14,12,0,0,fake,com.sdwiurse,1.0,googl app stoy
b104b820a1fe271d72de4c560891577ed4609c574d331896290f53ddf3805dff,base2 (160).apk,0,0,0,1,0,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,12,26,0,0,legit,com.alkamitech.georgiasown,4018.0.0,Georgias Own
b16b3243bc9a93df147b1a8e08e94800282a7eadf76269424ee890241e842401,b16b3243bc9a93df147b1a8e08e94800282a7eadf76269424ee890241e842401.apk,1,1,1,1,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,0,60,0,0,0,0,-1,-1,0,0,0,0,0,0,12,20,0,0,fake,com.wlfuzvxs.ojrcbuf,6.0,Video Player
b377fab02b07d22b52da4545138fb547b73c42c3650f5e01fb2d135799668f2f,com.suryoday.MB_20.0.17.apks,1,1,1,0,0,1,1,1,1,1,0,1,0,1,6,1,1,0,0,0,0,0,0,200,0,0,60,0,0,0,0,-1,-1,0,0,0,0,0,0,8,15,0,0,legit,com.suryoday.MB,20.0.17,Suryoday
b4f20cb67bc74fe3786d7e122ffe29000bce91533eb7c3b77cbcc9a610a1beb0,ToasterBot.apk,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,200,0,0,80,0,0,0,0,-1,-1,0,0,0,0,0,0,15,30,1,0,fake,picoapp453.picoctf.com.picoapp,1.0,PicoApp 2014 :3
b72c916b39b937584fffba1052e7772edbab94c9b2fd1954b40508d45fb9c9f0,aktie.apk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,89,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,8,28,1,0,fake,ctf.competition.team18.aktie,1.0,Aktie-18
b7a50d408c6fe3e59a77d1340db704e644249cf111cced37f73fd7b3b1b8a01b,EasyRe.apk,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,200,0,0,66,0,0,0,0,-1,-1,0,0,0,0,0,0,6,24,0,0,fake,easyre.sjl.gossip.easyre,1.0,EasyRe
b8965a3d0af6bf1367aa48ed3caaa4fcd9986a31d533daf44b14d28033dec364,base2 (143).apk,0,0,0,0,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,6,22,0,0,legit,com.dbbl.mbs.apps.main,3.0.12,Rocket
bbe84b9d8dedb2b813afbc4825bcd31efb8a0979365e743b28387122e5604c89,com.thinkking.apk,1,1,1,0,0,1,1,1,0,0,0,1,0,1,4,1,1,0,0,0,0,0,0,200,0,1,50,0,0,0,0,-1,-1,0,0,0,0,0,0,15,13,0,0,fake,com.thinkking,1.0,Frases celebres
bc61649b671b13be4daecea73167c0e6ed194dbc2e9f262033406cb2b73c89bb,bc61649b671b13be4daecea73167c0e6ed194dbc2e9f262033406cb2b73c89bb.apk,1,1,1,0,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,2,50,0,0,0,0,-1,-1,0,0,0,0,0,0,7,19,0,0,fake,bleak.pelican.olive,1.0,Android
bc6221dcf7999f555d797150548376a1b5959c5ca11c3aea7774e80b80d64d87,._YouCanHideButYouCannotRun.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,fake,,,
bd07d2f701a4773d67d653556d346a932e3cf131cf5936350fa20951d634a1d6,com.ausmallfinancebank.amb_21.9.87.apks,1,1,1,0,1,1,1,1,1,0,0,1,1,1,6,1,1,0,0,0,0,0,1,200,0,0,100,0,0,0,0,-1,-1,0,0,0,0,0,1,7,26,0,0,legit,com.ausmallfinancebank.amb,21.9.87,AU 0101
be125a98ba01f1bd318271b5de8114da139e5f78449ab3eb69c5aa4934026aed,Crypto_Collector.apk,1,1,1,1,1,1,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,200,0,0,40,0,0,0,0,-1,-1,0,0,0,0,0,1,16,18,0,0,fake,com.amateur.ensure,1.3,Crypto Collector
c03a0cbe0c3d86ec251d48b468292eb83cf28f2cbe98a19adeb8f7f34a4caf41,base2 (139).apk,1,0,1,0,1,1,1,0,0,0,0,1,1,1,4,1,1,0,0,0,0,1,1,200,0,0,75,0,0,0,0,-1,-1,0,0,0,0,0,1,4,13,0,0,legit,team.opay.pay,7.36.3.348,OPay
c1445a7720870436d97298c288fa6427e36fdb0ea7b1accb135790c9f766992a,base2 (111).apk,0,0,0,0,0,1,1,0,0,0,0,1,1,1,4,1,1,0,0,0,0,0,0,200,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,8,23,0,0,legit,com.sundaramfinance.bnp,1.1.49,BBNPP MF
c31978a7c51ab0fd99fa0388754cc58a4185039c7b205f06bb4d6c2d6b75e71d,lClCl-BANK.apk,0,1,1,0,0,1,1,1,0,0,0,1,0,1,4,1,1,0,0,0,0,1,0,200,0,0,100,0,0,0,0,-1,-1,0,0,0,0,0,0,10,44,1,0,fake,djhgsfjhfdgf.gjhdgsfsjde.myappl876786ication,1.0,lClCl-BANK
c3924aff3134c3ac204598b5b8b559910bdecc50b3e3f102b7c90edb03596716,base2 (167).apk,0,0,0,0,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,1,1,200,0,2,66,0,0,0,0,-1,-1,0,0,0,0,0,0,6,28,1,0,legit,com.paypal.android.p2pmobile,8.90.1,PayPal
c4347c88b652eaa2aae739f53f5b837fac6198e7ef166a3b5a0de07f232ed6e7,base2 (130).apk,1,0,0,0,0,1,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,0,0,200,0,2,50,0,0,0,0,-1,-1,0,0,0,0,0,0,9,21,0,0,legit,com.kreditbee.android,2.2.1,KreditBee
c642ea959b0e8b7913c40bcbd28a1a444ccfa76791718201d46b1c060059655d,Claco.A.apk,1,1,1,0,1,1,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,31,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,12,23,0,0,fake,smart.apps.droidcleaner,1.5,DroidCleaner
c80a4485ca1bc2039c2650ea84fde19a41f5514fdb3aff2f15a5973182ae7dad,in.hsbc.hsbcindia_3.61.0.apks,0,0,0,0,0,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,0,100,0,0,0,0,-1,-1,0,0,0,0,0,1,10,17,0,0,legit,in.hsbc.hsbcindia,3.61.0,HSBC India
c856796b372d21602bbd69d7e17740c4e790e4780464ab5063f3a25e2f69c30b,WantAShell.apk,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,200,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,10,27,0,0,fake,com.example.ring.wantashell,1.0,WantAShell
c941aaa92c505dc4f1d7bcea8c83516ff7fe6b30abb078c7fd88d969dcbb61e5,net.one97.paytm_10.63.0.apks,1,1,1,0,1,1,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,1,1,200,0,0,100,1,0,0,0,-1,-1,0,0,0,0,0,1,5,15,1,0,legit,net.one97.paytm,10.63.0,Paytm
cab298aad4f0969246da9a453006d4fdb4274aa6f4a5f2c976f5345a57f79837,cybertruck19 (1).apk,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,200,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,9,24,0,0,fake,org.nowsecure.cybertruck,1.0,NowSecure
cb34d35de26a4e165d0664d41e1ec99ac9ca226c41da54a830ee1f1d5608493f,base (15).apk,1,1,1,0,1,1,1,1,1,0,0,1,1,1,6,1,1,0,0,0,0,0,0,200,0,0,75,0,0,0,0,-1,-1,0,0,0,0,0,1,12,27,0,0,legit,com.dhanlaxmi.dhansmart.mtc,4.1,DhanSmart-5x
cb9d5791feaf03743a2432474a1d487d66e4467b4d07041cb21aab117c5a3464,com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge_3.7.3.apks,1,1,0,0,1,1,1,0,1,0,0,1,1,1,5,1,1,0,0,0,0,0,1,200,0,0,100,0,0,0,0,-1,-1,0,0,0,0,0,1,8,64,1,0,legit,com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge,3.7.3,Kotak811
cd2ec325dda1df8b6b0efa52efe1e78594b0eaa2f501476aef6b0680968e4cff,com.infrasoft.uboi_8.0.34.apks,1,1,1,0,1,1,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,0,0,200,0,0,66,0,0,0,0,-1,-1,0,0,0,0,0,1,4,18,0,0,legit,com.infrasoft.uboi,8.0.34,Vyom
cd93811e6abcd26d93a4649db62c3d34f7ab01bc30fdb835b7ebee61479c893d,insomnidroid.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,12,40,1,0,fake,com.fortiguard.insomnihack2012.challenge,1.0,InsomniDroid
d062c1002a3f6dfdd77b9b97281e28bbc2998b4ac832bdb4e3b57d09ab800e3d,com.imagepets.apk,1,1,1,0,0,1,1,1,0,0,0,1,0,1,4,1,1,0,0,0,0,0,0,200,0,1,57,0,0,0,0,-1,-1,0,0,0,0,0,0,8,13,0,0,fake,com.imagepets,1.0,Perritos
d0775b35bb8cb849d1049e9cea3d990f97bf09e908d19c93ba6ce0c184bfa668,d0775b35bb8cb849d1049e9cea3d990f97bf09e908d19c93ba6ce0c184bfa668.apk,1,1,1,1,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,0,60,0,0,0,0,-1,-1,0,0,0,0,0,0,12,20,0,0,fake,com.cwnjcjeo.qhmvgio,6.0,Video Player
d0a24a5d2a69658b48daade25f5e895b58fa4f79d519ad32109d6d5fab90701b,misc.apk,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,200,0,0,66,0,0,0,0,-1,-1,0,0,0,0,0,0,4,16,0,0,fake,com.example.misc,1.0,misc
d0e1a82a28492b1bd4f3b394261424625eb35ce6281fccd4cc390c03155c9e0a,base2 (159).apk,0,0,0,0,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,1,0,200,0,0,100,0,0,0,0,-1,-1,0,0,0,0,0,0,14,19,0,0,legit,com.gatecity.mobile,4018.0.0,Gate City Bank
d14c13cb74af420428ba8e37e5b8172fc123cec5ddf0141882d4a55a90a1bfdc,base2 (112).apk,0,0,0,0,1,1,1,0,0,1,0,1,0,1,4,1,1,0,0,0,0,0,0,200,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,3,21,0,0,legit,za.co.fnb.connect.itt,7.14.1-57 (24),FNB
d30605bef2e1c554e0fc4a4bf1e99b3ee692974ce7925a067ce0deaa26a631f0,base2 (94).apk,0,0,0,0,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,1,12,27,0,0,legit,uk.co.santander.santanderUK,5.24.0,Santander UK
d3d9e9ede2739893986b9f57d2b97dd67b5cc1442668943d4f89da28ed5fd4fc,base.apk,1,1,1,0,0,1,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,1,1,200,0,0,100,0,0,0,0,-1,-1,0,0,0,0,0,1,25,21,0,0,legit,com.csbbank.csbmobile,1.0,CSBMobile+: Smart Banking
d42149a45598d0928fb67276392e310bd87a8a0b94a8c32efb6deee483c875e4,CTFDroid.apk,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,91,0,0,50,0,0,0,0,-1,-1,0,0,0,0,0,0,9,21,0,0,fake,com.rajasaur.ctfdroid,1.0,CTF Droid
d482ee327ef122ae35a8196cf063680c76ae798877f1cd7f5b33565c32ab0718,co.uk.getmondo_6.40.0.apks,0,0,0,0,1,1,1,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,200,0,0,40,0,0,0,0,-1,-1,0,0,0,0,0,0,5,14,0,0,legit,co.uk.getmondo,6.40.0,Monzo
