sample_index,feature,shap_value,rank
0,count_suspicious,-1.9828875064849854,1
0,READ_CONTACTS,-1.101884365081787,2
0,SEND_SMS,-0.8412609100341797,3
1,count_suspicious,-1.7167468070983887,1
1,api_SmsManager,-1.3476288318634033,2
1,SEND_SMS,1.270522952079773,3
2,count_suspicious,2.757631778717041,1
2,SEND_SMS,1.1644152402877808,2
2,RECEIVE_SMS,0.7627645134925842,3
3,count_suspicious,-2.729137420654297,1
3,impersonation_score,-1.1617217063903809,2
3,api_SmsManager,-1.1315181255340576,3
4,READ_CONTACTS,-1.1223660707473755,1
4,SEND_SMS,-0.8930150270462036,2
4,impersonation_score,0.662629246711731,3
5,count_suspicious,-2.5994973182678223,1
5,impersonation_score,0.9557880163192749,2
5,READ_CONTACTS,-0.9366776943206787,3
6,count_suspicious,3.676438093185425,1
6,INTERNET,1.0091952085494995,2
6,package_len,0.7517200708389282,3
7,READ_CONTACTS,-1.017056941986084,1
7,SEND_SMS,-0.8892036080360413,2
7,perm_query_all_packages,-0.7314838171005249,3
8,count_suspicious,3.65626859664917,1
8,INTERNET,1.0091952085494995,2
8,package_len,0.5203336477279663,3
9,impersonation_score,-1.4321945905685425,1
9,READ_CONTACTS,-0.9304481744766235,2
9,SEND_SMS,-0.7051323056221008,3
10,SEND_SMS,1.5587081909179688,1
10,RECEIVE_SMS,0.9864705801010132,2
10,package_len,0.864456295967102,3
11,SEND_SMS,1.5756900310516357,1
11,impersonation_score,1.1637823581695557,2
11,count_suspicious,-1.075013279914856,3
12,impersonation_score,-1.8060203790664673,1
12,READ_CONTACTS,-0.8883411288261414,2
12,SEND_SMS,-0.6633984446525574,3
13,SEND_SMS,-0.7186916470527649,1
13,impersonation_score,0.7002347111701965,2
13,READ_CONTACTS,0.6499846577644348,3
14,SEND_SMS,1.5775914192199707,1
14,impersonation_score,1.1493065357208252,2
14,count_suspicious,-1.096743106842041,3
15,count_suspicious,2.9221413135528564,1
15,SEND_SMS,1.022079348564148,2
15,RECEIVE_SMS,0.6635084748268127,3
16,count_suspicious,3.65626859664917,1
16,INTERNET,1.1173499822616577,2
16,READ_CONTACTS,0.46119433641433716,3
17,count_suspicious,-2.7141692638397217,1
17,impersonation_score,-1.4481574296951294,2
17,api_SmsManager,-1.182088851928711,3
18,count_suspicious,-2.428964138031006,1
18,impersonation_score,-1.3252818584442139,2
18,api_SmsManager,-1.0580850839614868,3
19,count_suspicious,2.6781129837036133,1
19,SEND_SMS,1.046621322631836,2
19,perm_query_all_packages,-0.7682062387466431,3
20,count_suspicious,-2.7094593048095703,1
20,impersonation_score,-1.227020025253296,2
20,api_SmsManager,-0.9327458143234253,3
21,impersonation_score,0.9720192551612854,1
21,SEND_SMS,-0.6737818121910095,2
21,READ_CONTACTS,0.5455762147903442,3
22,count_suspicious,-3.0604679584503174,1
22,api_SmsManager,-0.9648694396018982,2
22,perm_query_all_packages,-0.6049399971961975,3
23,count_suspicious,3.1566243171691895,1
23,READ_CONTACTS,0.5244655013084412,2
23,api_getDeviceId,0.519415020942688,3
24,count_suspicious,-1.6507177352905273,1
24,impersonation_score,-0.9816672801971436,2
24,READ_CONTACTS,-0.8154276013374329,3
25,count_suspicious,3.1577181816101074,1
25,INTERNET,0.8959255814552307,2
25,impersonation_score,0.6891713738441467,3
26,count_suspicious,2.5908827781677246,1
26,SEND_SMS,1.0809235572814941,2
26,impersonation_score,0.7351981997489929,3
27,count_suspicious,-2.641415596008301,1
27,impersonation_score,-1.1178505420684814,2
27,api_SmsManager,-1.054429054260254,3
28,count_suspicious,-3.05934476852417,1
28,api_SmsManager,-1.3383045196533203,2
28,SEND_SMS,0.8094283938407898,3
29,SEND_SMS,1.5598914623260498,1
29,impersonation_score,1.1757712364196777,2
